Start,End,Best Matrix,Best M. At,Time,Time Taken,Memory Used
1,2,0.26191289722919464,1,143.09655618667603,0.0,2023:03:05 23:02:10
1,2,0.5833100289106369,2,291.54622292518616,0.0,2023:03:05 23:04:39
1,2,0.6204008162021637,1,150.51570343971252,0.0,2023:03:05 23:14:49
1,2,0.67055294662714,2,320.9709858894348,0.0,2023:03:05 23:17:39
1,2,0.7103484079241753,1,240.53403735160828,0.0,466.5,2023:03:06 01:46:21
1,2,0.747921995818615,2,548.0442063808441,0.0,335.78,2023:03:06 01:51:28
